User Number,First Name,Last Name,Passcode,Site Code,Card Number,Authority Levels,Key Fob,AMS Card Type,Number of bits
1,"Simmons,",Justin,123456,214,58086,"1,0,0,0,0,0,0,0",0,5,26
2,Mickey,Mouse,654321,,,"1,1,0,0,0,0,0,0",0,5,26
3,Donald,Duck,951357,,,"1,2,0,0,0,0,0,0",0,5,26
4,Homer,Simpson,357951,,,"2,1,0,0,0,0,0,0",0,5,26
5,Marge,Simpson,654987,,,"3,0,0,0,0,0,0,0",0,5,26
6,Peter,Griffin,321654,,,"4,0,0,0,0,0,0,0",0,5,26
7,Lois,Griffin,159357,,,"3,0,0,0,0,0,0,0",0,5,26
8,Stan,Smith,753951,,,"1,0,0,0,0,0,0,0",0,5,26
9,Ned,Flanders,316497,,,"0,0,0,0,0,0,0,0",0,5,26
10,Michael,Jackson,641397,,,"0,0,0,0,0,0,0,0",0,5,26
11,Aretha,Franklin,287139,,,"0,0,0,0,0,0,0,0",0,5,26
12,John,Doe,647138,,,"0,0,0,0,0,0,0,0",0,5,26
13,Jane,Smith,574138,,,"0,0,0,0,0,0,0,0",0,5,26
14,Manager,Mike,557412,,,"0,0,0,0,0,0,0,0",0,5,26
15,Janitor,Jeff,154783,,,"0,0,0,0,0,0,0,0",0,5,26
16,Director,Dan,857432,,,"0,0,0,0,0,0,0,0",0,5,26
17,Jack,Black,663587,,,"0,0,0,0,0,0,0,0",0,5,26
